FL_inVCbeforeV_mergeVlength	FL_inVCbeforeV_mergeC	FL_inVCbeforeV_mergeCmanner	FL_inVCbeforeV_mergeCplace	FL_inVCbeforeV_mergeVC	n_VCV	n_forms	tip_label
0	3.38624	1.02115	1.22387	4.80367	347	567	Gangulu
0.01894	3.29972	1.20557	1.22262	4.82576	339	731	Dyirbal
0.35925	3.00774	0.93156	0.91288	5.46357	340	575	Duungidjawu
0.00835	3.86592	1.75735	1.27597	5.45047	1459	3290	Djinang
0.05087	3.33433	1.26157	1.15582	4.94351	640	1200	Djabugay
0.6215	3.6472	1.33495	1.35916	5.83609	636	1540	Dhayyi
0	3.5396	1.4069	0.92565	5.00296	376	611	Dharumbal
0.53689	3.56863	1.30565	1.20428	5.77147	222	600	Dhangu
0.01031	4.11866	1.81405	1.53544	5.64921	514	683	Bularnu
0.01124	3.47936	1.0422	1.30549	5.01695	385	758	Biri
0.02048	3.3985	1.04399	1.43762	4.89526	467	811	BidyaraGungabula
0.15259	3.34703	1.20493	0.8398	5.0084	303	459	Batyala
0.07799	3.83757	1.65677	1.58317	5.46936	1235	2328	Yulparija
0	3.88294	1.53233	1.74139	5.35535	331	684	Wirangu
0	3.8402	1.46276	1.70363	5.31784	380	629	Badimaya
0.06465	3.10928	0.81808	1.6547	5.35224	143	221	Ayapathu
0	3.43487	1.41054	1.05495	5.12771	87	196	Antekerrepenhe
0	3.46878	1.33596	1.39229	4.98724	99	200	CentralAnmatyerr
0	2.21194	0.46337	0.43902	4.22017	31	208	AghuTharrnggala
0.00756	4.57486	2.2239	1.68449	6.07288	1371	2473	Adnyamathanha
0	3.85569	1.55882	1.48247	5.7911	239	421	WesternArrarnta
0	3.52997	1.28808	1.10643	5.4101	760	1158	WembaWemba
0.44092	2.96534	1.11222	0.69925	5.07007	489	1084	Wailwan
0.04881	3.65875	1.46336	1.55668	5.27539	273	599	Warriyangga
0.03387	3.82784	1.6192	1.55705	5.39333	607	1006	Warnman
0.06187	3.97406	1.62665	1.61144	5.58741	732	1124	Warluwarra
0.07786	3.9163	1.71747	1.54913	5.5014	3214	8742	Warlpiri
0.0319	3.95578	1.77715	1.53845	5.48634	598	1315	Warlmanpa
0.03737	4.06369	1.78415	1.49204	5.64349	480	960	Wangkumara
0.23893	3.79362	1.64994	1.54911	5.60587	1289	2147	Wangkatja
0.02547	3.53725	1.47926	1.34479	5.39252	693	1087	Wakaya
0	3.65453	1.18886	1.31003	5.89649	554	2051	YirYoront
0.72846	3.35162	0.89494	1.79401	5.72476	474	1121	Umpila
0.11295	3.75073	1.412	1.63985	5.423	467	779	Thalanyji
0.06289	3.47494	1.18046	1.40718	5.10047	109	166	Yingkarta
0.52735	3.88643	1.59391	1.28656	5.93717	840	2103	Ritharrngu
0.12691	3.5691	1.47834	1.21215	5.30879	492	1218	Yindjibarndi
0.0137	3.3992	1.24099	1.0829	4.94771	962	2032	Yidiny
0	3.93507	1.63773	1.65343	5.3902	448	674	PittaPitta
0.12035	3.71099	1.44293	1.4871	5.4056	514	988	Payungu
0.03319	3.7602	1.52554	1.53691	5.34425	327	743	Panyjima
0.48182	3.64614	1.31033	1.58642	5.76896	748	1728	Paakantyi
0	3.62933	1.55767	1.40351	5.04304	143	268	Nyiyaparli
0.05591	3.77166	1.63689	1.53035	5.37512	1003	1695	Nyangumarta
0	3.86782	1.61319	1.58623	5.32519	175	446	Yarluyandi
0.2393	4.14485	1.81462	1.56749	6.01126	271	393	Nukunu
0.22128	4.01872	1.61692	1.98274	5.88174	427	603	Nhanta
0.277	2.90943	1.00019	0.75034	4.92125	153	405	Ngiyambaa
0.02768	3.80037	1.53369	1.47708	5.31843	1351	4140	Yanyuwa
0.00947	3.79315	1.54967	1.51314	5.31404	632	1343	Ngarluma
0.05433	3.76758	1.65036	1.52167	5.29801	940	1265	Ngarla
0.04972	3.76026	1.6092	1.36969	5.24387	869	1425	Ngarinyman
0.00861	3.74905	1.65697	1.62422	5.15776	453	894	Ngamini
0.29871	3.50939	1.29981	1.23898	5.37635	874	1467	Muruwari
0.00827	4.11897	1.75325	1.47075	5.60068	545	1462	Yandruwandha
0.12114	3.73404	1.57305	1.36196	5.37317	509	857	Mudburra
0.15786	3.10229	0.8904	0.946	5.66303	256	469	Mbakwithi
0.05701	3.77911	1.49281	1.64556	5.34549	259	468	Mirniny
0.01281	3.87887	1.47046	1.58835	5.35726	397	764	Yalarnnga
0.06057	3.63488	1.593	1.3168	5.20087	752	1316	MangalaMcK
0	3.76104	1.54242	1.52907	5.19981	143	326	Malyangapa
0	3.5295	0.95304	1.00293	5.51673	237	608	Linngithigh
0.82543	3.43638	0.96631	1.83232	5.80749	673	1082	KuukuYau
0.1574	3.66571	1.47509	1.33256	5.39383	495	832	Kurrama
0.17709	3.81859	1.69195	1.5564	5.59459	2340	7537	Kukatja
0.49283	3.46876	1.36896	1.2646	6.04839	423	1030	Kukatj
0.23071	3.51383	1.20115	1.52446	6.04852	359	490	KuguNganhcara
0.00843	3.27218	1.133	1.14376	5.45034	436	1231	KokoBera
0.10259	3.8005	1.5983	1.62878	5.47929	526	1157	Kartujarra
0.00794	3.65935	1.51189	1.34208	5.20154	252	380	Kariyarra
0.01131	3.69861	1.58515	1.37069	5.13827	1219	1722	Karajarri
0.17377	3.83841	1.44917	1.66446	5.62081	938	1500	Kalkatungu
0.10655	3.74739	1.49967	1.54472	5.4276	747	1231	Jiwarli
0.14654	3.68024	1.65064	1.24127	5.33266	1459	2264	Jaru
0	3.35136	1.12522	0.88163	5.36569	79	184	Ikarranggal
0.15154	3.3453	0.97184	1.28326	5.05176	284	587	Guwamu
0.7044	4.04866	1.65998	1.38836	6.23876	1425	3627	Gupapuyngu
0.68013	2.88826	1.13853	0.56069	5.26609	260	351	Gumbaynggir
0	3.49512	1.15798	1.29477	4.90409	273	483	GuguBadhun
0.02401	3.76941	1.60119	1.38537	5.29175	1071	1892	Bilinarra
0.14408	3.8042	1.68318	1.39978	5.46222	2779	5493	Gurindji
0	4.05732	1.67769	1.82725	5.50771	241	553	Diyari
0.48122	3.19708	1.09043	1.22325	5.45897	182	318	GuuguYimidhirr
0.08812	3.66001	1.37534	1.49479	5.27354	207	326	Malgana
0.0375	3.50477	1.45837	1.23642	4.93515	101	168	Malngin
0.44753	3.1191	0.91807	0.84475	5.19103	338	686	Nyawaygi
0.08977	3.91537	1.65395	1.67557	5.59671	773	1906	Yinhawangka
0.01093	3.78858	1.65944	1.6004	5.22243	567	1189	Nyamal
0.1181	3.67472	1.39036	1.474	5.40366	385	597	Yadhaykenu
0.48216	3.06965	0.75675	1.7042	5.94799	379	482	Pakanh
0.16013	3.79589	1.49582	1.64078	5.51023	542	1446	Purduna
0.26686	3.75196	1.62869	1.50609	5.59882	3096	5956	PintupiLuritja
0.34885	3.41856	1.08442	0.8692	6.20148	403	1768	Kurtjar
0.0244	3.19195	1.02648	1.04391	5.46268	212	381	KokNar
0	3.55942	1.19674	1.35204	4.99388	184	337	Ngawun
0.30847	3.80683	1.6574	1.54404	5.71197	1125	1779	Ngaanyatjarra
0	4.08537	1.62139	1.66831	5.62236	250	371	Margany
0.0863	4.14854	1.67209	1.88073	5.75426	420	678	Gunya
0	3.56565	1.16551	1.44931	5.06681	134	284	Kungkari
0.00913	4.25498	1.89732	1.52545	6.51947	992	1524	Olkola
0	4.2333	1.8775	1.49222	6.47035	692	1236	UwOykangand
0.57815	3.3376	0.91012	1.73336	6.27309	1411	4032	WikMungkan
0	3.49916	1.17589	0.7543	5.59122	286	752	Thaynakwith
0.23881	3.15607	0.84842	1.79243	4.89785	110	219	Kaanju
0	3.7957	1.48604	1.16089	6.00113	232	531	Kunjen
0	3.73606	1.54014	1.29038	5.18186	135	351	Nhirrpi
0.52706	3.91967	1.62179	1.35121	5.97688	953	1764	Yannhangu
0.62734	3.28998	1.4897	1.00563	5.48254	657	994	Yaygirr
0.60588	3.10913	1.18574	0.80942	5.29215	1114	1681	Yuwaalaraay
0.49055	3.0948	1.09013	0.66453	5.16527	619	1062	Gamilaraay
0	3.33266	1.3692	1.40223	5.30765	269	380	YortaYorta
0.46263	3.33771	1.1689	1.22445	5.35107	471	937	Wargamay
0.10105	4.05433	1.8078	1.46815	5.74199	371	704	Tharrgari
0.54909	3.74842	1.42424	1.45407	5.90626	562	1370	Djapu
0.07535	3.85747	1.68966	1.52993	5.42359	2359	4481	WalmajarriHR
0.0955	3.82294	1.55502	1.58478	5.48259	787	1631	Wajarri
0.04414	3.69175	1.53814	1.41602	5.2485	275	625	Ngardily
0.38683	2.96159	1.2119	0.84402	4.97893	862	1924	Bandjalang
0.38351	2.96178	1.21308	0.85214	4.98124	862	1861	Githabul
0.12168	3.81297	1.59684	1.41252	5.45571	633	1379	Martuthunira
0.2663	3.66354	1.57687	1.51879	5.4138	510	1326	Ngadjumaya
0.00555	3.40666	1.2063	1.06336	4.92734	1070	2213	KukuYalanji
0.39815	3.09404	0.94483	1.29853	5.89693	872	3487	KuukThaayorre
0.07312	2.83242	0.84442	1.02443	4.49971	82	337	Mbabaram
